9x20	426	1:2:3:3:1,1:1,1:1,1:2:3:2,1:2,3:2,2,2:2,2,2:2,1,2:2,1,2:2,1,2:5:1:1:2-5:7:2,2:1,2,1,1:20:3,1,1,1:5,2,2:5:3
25x20	2446	4:6:4,2:3,3,1,1:2,1,2,2,2:2,1,3,1,1,1,1,1:3,2,2,3,2:2,3,2,4,2:1,3,6,2:1,4,9:3,8,1:2,8,1,2:1,2,3,4:3,2,2,6,2:3,3,10,2:2,11,4:4,6,4:4,4,2:3,5,7,3:4,4,2,3-2,1:4,2:2,1,2:3,1,1,1:8,2,1:3,2,3,2:6,3,2,2:3,3,2,2:2,6,2,2:4,5,3,2,2:7,2,4,1:3,4,3,1:6,3,1:8,3,1:1,4,3,1:2,5,3,2:2,5,3,2:6,4,2:2,1,4,2:2,2,3,2,1:2,3,3,2,1:3,2,2,2:1,2,1:3,2:2,1
25x20	2450	15,9:5,7,5,3:1,9,1,2,8:13,1,1,7:8,3,2,1,4,1:11,13:5,4,1,3,7:9,1,3,5,3:1,6,1,3,10:7,1,3,8,2:3,1,3,5,6:2,2,1,3,12:2,3,6,10:1,3,3:1,2,1,1:2,2,1,2:3,7,3:1,1,1,1,3:2,1,2,4:4,1,4,4-13:2,5,4,2:11,2:10,2,2:10,3,2:1,4,3,1,2:10,1,2:9,1,2,1:4,3,1,3,1:7,1,3,1,2:6,1,4,4:2,2,1,3,2,1:4,1,3,8:1,5,2,1,1:1,6,3,4:1,2,5,1,2:2,1,1,6,1:3,2,6,1:4,5,2:13:13:1,5,5,2:9,3,4:4,8,5:13,6
25x20	Mouse	3,4,4,3:2,2,2,6,2:1,7,2,1:1,3,2,2,1:2,1,6:1,3,10:2,2,3,4:2,2,3:2,2,3,2,3:4,3,3,2:9,2,3:2,2,2:3,2,2:3,3,3,2:3,3,5,4:1,2,4:3,3,4:3,5:5,6:9-4,1:2,3,1:1,2,1,1:3,2,1:2,3,2:2,1,1,1,1:4,2,1,2:1,1,2,1,1,1:3,1,3,1,1:2,5,1,2:2,2,2,1,2:4,3,4,1:3,5,2,1:2,4,2,1:2,3,1,1:6,2,3,2:5,5,1,2:2,3,1,2:2,1,2:3,2,2:2,1,3:4,5:1,5,4:2,10:4,6
25x20	Geese	3,6:1,5,4,3:12,5:3,4,3:3,11:9:6,3:6:5:5:3,4,6:1,3,3,3,3:7,2,2,2:1,1,4:3,9:9:7,3:7:6:5-1:1:2:1,1,1:3,1:3,2:2,1,1:3,3:4,3:3,2:2,2:2,9:1,9,1:2,9,2:1,8,1,6:1,7,2,5:1,5,1,6:1,2,2,7:2,3,1,7:1,1,1,1,6:2,1,1,1,5:3,1,2:3,2,3:2,2,1,1:1,2,1,1
25x20	Pyramid	3,3:9,1:3,3,2,3:2,5,1,5:1,4,1,2,3:1,2,1,2,4:2,1,2,1,5:2,2,2,5:2,2,4,6:2,2,5,7:2,2,6,7:2,2,8,8:1,2,9,7:2,7,6:4,5,5:4,2,5:2,4,3:6,4,3:9,3,1:11,3-4,2:3,2,4:3,8,1,4:2,8,3,3:5,2,1,3:6,2,1,3:4,2,2,2:2,2,2,1,1,2:3,2,2,1,2:3,2,4,2,1:2,5,1,1:2,6,1,1:2,8,2:2,9,1:3,7,1:5,5,2:7,2,1:9,1:11,1:12,1:13:10:7:4:1
25x20	Hare	3:2,2:2,2:3,2:3,2:4,2:8:3,2:1,5,3,1,2:2,13,1,1:3,7,5:1,2:1,1,1,2,3:1,2,2,1,5:1,2,8,2,1:3,2,2,2,5:2,1,2,4,9:7,6,1:7,10:1,13-2,2:2,5:2,1,2:5,2:2,2,2:2,4:2,2:2,2,1:2,5,2:3,3,3:3,2,1,4:5,2,1,4:1,3,2,1,4:1,3,2,1,4:1,2,2,2,3:2,2,3,4,2:2,4,2,2:2,3,1,2:4,2,3,1,1:2,3,3,1:1,1,2,1,2:1,1,2,2:2,1,2,2:2,2,2:2,2
25x20	Crane	7:6,2,3:3,2,9:3,2,2,1,1:3,3,2,3:1,1,3,2,3:5,1,2,1,1:5,4,3:1,2,2,1,2:1,3,4:9,4:1,1,1,4:1,1,1,4,1:2,5,4,2:1,5,4,3:2,6,4,4:11,4,5:2,2,1,1,1,2:9,1,1,1,1:9,2,2-2:4,7,2:1,5,1,4:5,1,4:1,2,1,1,2:1,3,7,2:1,1,3,4,2:1,3,2,7:1,2,4,7:1,1,2,7,2:1,2,2,2:3,2:2,2:1,2:4,2:1,1,1,1:3,2,1:3,5:1,1,4:3,4,2:8,4,1,1:2,2,7,2,1:6,4,5:4,5:3,5
30x20	30	2,3,3,6,12:5,2,2,9,3,3:4,1,2,5,5:3,1,2,4,4,6:6,1,1,1,2,2,5,1:1,4,1,2,10,4:6,2,2,3,10:4,2,2,2,5,7:8,2,2,9,2:6,2,1,2,11:2,6,1,2,3,5:9,1,1,2,6,2:6,1,1,4,1,9:3,5,1,1,2,2:9,1,1,2:7,1,1,2:1,3,2,3,6:3,2,2,13:2,5,6,8:1,5-2,9,7:5,10,2:9,7:3,9,3:7,9:1,12:3,2,6:2,4,4,2:1,2,6,2:2,2,3:2,1,9,1:1,2,1:2,1,1,2:2,1,2,7:2,2,2,1,1,1:3,1,2,1,1,1:7,2,2,1:7,2,1,2:4,4,2,2:6,3,3,3:2,7,5:1,8,5:1,2,5,4:2,6,2,4:13,4:5,7,3:1,11,3:8,2,1,2:4,8,2:2,7,2,1
30x20	116	2,1:1,2:2:26:1,4:1,16,5,4:1,1,1,1,1,1,4:1,1,5,1,5,5:1,1,7,1,1,3,2,2:1,1,2,1,3,1,5,3,1:1,1,1,1,1,3,1,1,3,3,1:1,1,5,3,1,5,3,1:1,1,2,5,1,1,3,3,1:1,1,2,5,1,5,3,1:1,1,1,10,5,3,1:1,1,3,7,1,1,5:1,1,8,1,1,5:1,16,5,5:1,5:26-15:1,1:1,13,1:1,1,1,1:1,1,2,1,1:1,1,2,1,1,1:1,1,4,1,1,1:1,1,2,1,1,1,1:1,1,2,2,1,1,1:1,1,3,1,1,1,1:1,1,2,3,1,2,1:1,1,2,6,1:1,1,11,1:1,1,10,1:1,1,9,1:1,1,5,1:1,1,1,4,1:2,1,13,1:2,1:3,13,1:2,1,1,1,1,1,2,1,1:1,10,1,1:1,1,8,1,1:1,13,1:2,2:17:17:4,10:4,4:11
30x20	332	6,6:2,2,2,2:2,2,2,2:1,3,4,3,1:1,2,2,2,2,1:2,4,4,2:2,1,2,1,1,2,1,2:3,2,3,2,2,3,2,3:1,3,2,2,1,1,2,2,3,1:2,2,1,1,1,1,2,2:5,4,4,5:3,3:1,1,1,2:1,1,1,2:1,1,1,3:4,6:1,4,5:2,2,8:2,11:18-4:2,2:2,1:1,1:4,2,1:2,3,2:2,2:1,5:1,5:1,1,1,2,1:1,3,8:2,1,2,2,3:2,9,3:2,2,2:1,2,1:1,2,1:2,2,2:2,9,3:2,1,2,2,5:1,3,12:1,1,1,2,1,8:1,5,6:1,5,4:2,2,3:2,3,2,3:4,2,1,2:1,1,2:2,1,1:2,2,1:4,1
30x20	1068	4:5,8:9,10:25:28:7,8,6:6,7,5:5,5,4:5,4:5,4:6,7:7,3,7:12,8:12,1,6:10,1,5:2,5,3,2:1,4,7:2,4,4:5,6,1:12,1-5,2:7,2:9,2:10,2:11,2:4,5,2:4,4,1:4,5,1:3,4,1:4,3,1:4,4,2:4,5,2:5,9:6,8:6,6:5,4:5:5:6,1:6,1:4,4:5,6:5,2,2:5,7:6,5,1:6,5,1:16:14:11:7
30x20	1074	7:1,4,3:4,2,7:7,3,8:8,2,2,1,6:5,3,1:2,7,3:1,1,5,1,1,1:1,1,5,8:7,3,7,2:1,1,5,1,8,4:1,5,2,8,1,3:2,5,1,1,1,1,2:2,1,1,1,2,4:21:2,1,1,1,1,1,1,1,2:1,3,3,3,3,2,1:2,3,17,5:7,15,4,1:1,3,2,13,3,2-2,4:4,1,2:4,2,2:4,1,2,3:4,1,2,3:3,4,1,2:2,1,4,3,2:1,1,4,4,1:9,3:4,2,3:4,1,1,4:4,6:6,1,4:15,3:2,4,1,1,4:1,2,1,1,1,6:2,1,1,4,2,4:2,6,2,3:2,1,4,2,4:2,16:1,1,4,1,4:1,5,2,3:1,4,2,3:3,1,1,5,1:3,4,2:4,5,3:4,2,2:4,2,2:3,2,2,1:2,1,3
30x20	1222	4:4:2:7:12:2,8,2:2,2:3,5,5,3:4,16,4:3,1,6,1,7:3,2,4,1,3,1:7,3,2,3,1:6,3,2,2,1:4,2,1,2,3:8,1,2,6:8,9,2,2:4,2,6,2:4,2,6,3:2,2,12:4,4,1,1,1,1,3-4:5:6:2,4,1:2,2,1:3,2,2:4,5:4,4:4:3,6,1:4,4,3,1:5,4,5:1,2,2,5:2,3,4:3,6,5:2,3,6,1,2:6,5,1,2:6,3,2,1:2,3,2,3,2:3,1,2,1:3,2,2,2:1,3,2:5,4:13,1:9,1:3,1:3,2:3,3:3,2:6
30x20	1282	6:9:11,3:13,1,2:2,2,2,4,2,2:1,1,1,1,1,1,1,2,2,1:1,2,1,3,4,1,1,1:1,13,1,3,3:1,3,1,1,1,2,2:2,3,1,1,1,1,6,1:4,2,1,1,2,3,1:3,2,2,3,6,1:2,9,2,1,1,2:3,5,1,8:4,3,2,3,1:6,2,8:15,6:5,10:4,9:4,8-7,5:2,3,7:1,2,10:2,3,11:4,3,4:11,2:4,2,3,1:4,3,3,1:5,2,3,1:8,3,1:4,1,1,3,1:3,3,2,2:4,2,1,1,4:6,3,4:1,3,2,4:2,3,3:4,3:2,4:1,1,6:2,1,10:1,2,1,11:1,3,1,1,4:2,2,3,2:2,2,1,1,1:4,3,1,1:1,3,1,1:1,5:1,1:2,1:3
30x20	1296	2,2:3,1,2:4,1,1,3:6,1,4:3,3,4:6,4,4:11,4:3,1,1,2,4:2,4,16:4,17:22:1,21:1,1,14,2:1,2,11,3:2,3,2,3:2,3,2,3:3,3,3,3:2,3,2,3:2,5,2,5:2,4,2,4-3:4,1:5,1,1:3,2,1:7,4:12:3,1,1,2,3:2,4,2,4:4,8:14,2:1,9,2:1,1,12:1,12:11:6:6:6:6:6,3:6,4:9:9,2:5,2:14:15:4,6:4:4:5:4
30x20	1466	2,2,7:7,10:7,1,8:5,4,1,7:3,3,6:1,4,3,6:6,3,6:4,4,2,5:4,1,3,4,2,2:3,1,4,2,1:5,4,2,2,2:6,3,1,1,2:6,2,2,2:2,3,1,1,1:1,3,1,1,1,2,3:3,1,2,5,5:2,4,1,3,6,1,3:2,1,4,2,4,2,1,2:3,4,3,3,2,3:4,6,4,2,1,5-2,2:4,4,4:5,4,1,2:5,3,1,1:5,9,1:4,11:2,13:4,4:3,3:2,1,2:1,2,8,1:2,7,3:2,2,2,2:4,2,1,5:2,1,1,3:2,1,2,2,1:2,2,4,1,1:3,5,1:3,3,1,2:3,3,2,1:4,3,2,2:3,5,1:4,4:4,6:5,3:10,2,1:9,2,1,1:4,3,2:4,6:4,5
30x20	1686	2:3:1,7:2,4,3:2,3,2,2:3,6,2,2:4,5,2,2:7,2,2,1:6,2,2:5,2,2,2,1:5,2,2,2,3:5,2,4:5,2,5:5,2,6:5,2,2,6:5,2,2,6:5,10:5,8,2:5,9,1:15,1-9:10:11:2,11:3,11:2,1,2,4:2,3,4:6,3:4,2,3:4,2,2:2,2,2:1,2,1:1,2,2,2,1:1,2,2,2,1:1,2,1:1,2,2,1:2,2,2,2:1,2,2,2:2,2,2,3:2,5:2,4:3,5:12:9:9:7:5:2,1:2:3
30x20	1826	6:5:6:1:1,1,1:3,2,2,3:13:13:13:6:6:6:2,2,4,4,2,2,2:11,15:11,15:11,15:11,15:11,15:11,15:11,15-8:8:7:7:8:8:5,7:4,7:4,8:3,8:15:13:3,6:3,7:3,8:3,14:1,1,4,8:4,8:5,7:7:8:8:7:7:8:8:7:7:8:8
30x20	2014	4,5,9:3,2,1,1,4,1:1,1,1,5,1,1,1,1,1:2,2,1,1,3,1,1,1,3:7,8,2,2,1,1:9,1,1,6,4:9,2,1,2,8,1,1:7,1,1,1,8,3:5,3,1,2,8,1,1:3,2,1,3,6,3:3,2,1,1:5,3,3,4,5:7,9,4:7,2,1,2,6,2:9,1,1,8:9,2,2,8,2:9,2,2,8:9,3,8,2:7,3,3,6:10,9-2,4:1,6,7:1,6,9:1,16:3,16:1,16:1,6,9:6,8:1,2,1,4,1:4,3,2,1:1,1,1,1,1,5,2:10,2,2,2:1,1,1,2,3:5,1,1,2,1:2,2,3:7,2,2,2:1,1,2,5,2:4,1,2,1:1,3,4,1:1,7,7:3,6,9:1,15:1,1,15:1,6,9:1,7,6:1,3,1,4:1,1,1,1:1,9,1,1,1:4,1,1,1,1,1,1,1:9
30x20	Orca	1,2,1,5:1,3,4,1,2,3:4,1,1,3,3,4:6,3:2,13,3:1,4,12,2:4,7,4:3,8,7,4:2,4,13,3:2,15:4,2,5,4:8,5,1:5,16:6,3,3:5,3,3:4,2,3,3,2:3,4,1,3:3,1,4,3:2,2,3:4,1,6,4-1,1,1:2,2,2,2,2:3,1,3,1:3,1,3,1:3,8,1:1,1,11:2,3,2,5:1,3,2,5:3,1:3,3,2,1,1:1,2,1,3,2:2,2,1,2,1:3,1,2,1,3:1,1,2,1,1,3,1:1,3,2,1,1,1,1:7,1,2,1:9,1,1:13,2,1:15,1:13:6,3,1:1,2,3,1,1:1,2,2,1,2:2,2,2,1,1:1,5,2,1,1:1,1,2,2,3,1:1,1,1,6,3,2:1,1,4,2,1:1,2,3,1:1,1,1
30x20	2198	12,2:23:1,23:25:25:25:1,23:23:7,6,2:4,3,4:4,7,3:3,9,2:3,3,3:7,1,1,3:7,1,3:4,3,1,1,3,3,3:6,3,3,5,5:6,9,5,5:5,7,5,5:6,3,3,3-3:4:5,4:3,5:7,7:9,8,1:17:15:11,3:10,7:9,9:9,3,3:8,3,1,1,3:8,3,1,3:8,3,1,1,3:9,3,3:9,9:9,7:10,3:11,3:11,5:7,5:7,5:7,3:7:9,3:9,5:5:5:3
25x25	157011	25:25:9:2,1,1:1,3,1,1:6,1,1,1,1,1:6,1,1,1,1,1:1,1,1,1,1,1,1:1,1,1,1,1,1,1:6,1,1:1,3,1,1:2,1,3,1,1:6,1,1:10,9:12:1,1:1,6,1:1,1,1,1:1,1,1,1:1,1,1,1:4,2,1,2,8:1,1,3,1,3,1,1,1,1:4,1,4:4,1,4:4,1,4-2,1,1:2,1,2:2,1:2,2:2,1:2,12:2,2,5:2,5,3,4,4:2,2,1,3,1,3:2,2,1,4,1:2,2,1,4,1:2,2,1,3,1:2,5,3,9:2,2:2,12:2,1,5:14,4:3,1,1,3:3,5,2,1,2:3,1,2,1,1:3,5,2,1,2:3,1,1:14,2:3,1,1:3,5,2,1,2
25x25	157124	1:3:15:17:19:20:19:1,1,1,1,1,1,1:1,1,1,1,1,1,1:19:20:21:4:4:4:5:4,9:3,3,1,3:2,1,1,1,1,1:1,1,1,1,1,1:1,1,1,1,1,1:1,1,1,1,1,1:1,1,7,1:1,3,1,3:1,1,1,1,1,1-1:3:5:7:14:1,4:9:4,3:5,3:10:5,3,8:5,3,2,1:10,9:5,3,1,1:6,3,1,1:12,9:6,3,1,1:5,3,1,1:10,9:5,3,2,1:5,3,8:10:5,3:4,3:8
25x25	157125	2:2:4:1,1:1,1:1,1,1:1,1:1,1:1,1,1,1,1,1,1:2,1,3,3,3,3,2:1,23:2,22:2,21:2,20:2,19:3,18:4,17:5,16:22:1:1,7:1,1,1,1:1,1,1,1:1,1,1,1:1,1,1,1-1,2:1,2:9,2:3,2,12:3,3,5:12,4:5,3,5:7,2,1:9,1,1:10,5:9,1:10,1:11,5:10:9:10:11:10:9:10:11:10:9:10:11
25x25	157130	5,1,13,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,1,1,1,1,1,1:5,1,13,1:5,1,1:5,1,1:5,1,1:1,1,1:4,2:1,17:4,2:1,17:1,1,1:1,1,1:1,1,1:4,2:17-15:15:15:15:24:1,1,1:1,1,1:25:1,1,1:12,1,1,1:1,1,1,1,1:1,1,1,1,1:12,1,1,1:1,1,1,1,1:1,1,1,1,1:12,1,1,1:1,1,1,1,1:1,1,1,1,1:12,1,1,1:1,1,1,1,1:1,1,1,1,1:12,1,1,1:1,1,1:25:1,1,1
25x25	157359	15:15:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:11:1,1:1,1:11:11:25:1,1:1,1:25:1,1:1,11,1:1,15,1:1,1,1,1,1,1,1,3:1,1,2,7,2,1,1:1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,3:1,1,1,1,1,1,1:1,1,1,1,1,1,1-1,1,4:1,1:13:1,1:2,1,1,2:2,1,1,1,1:13,1,8:2,1,3,1,2:8,3,1,2,5:2,1,3,1,2,1:2,1,3,1,2,1:8,3,1,2,5:2,1,3,1,2,1:2,1,3,1,2,1:8,3,1,2,5:2,1,3,1,2:13,1,8:2,1,1,1,1:2,1,1,2:1,1:13:1,1:1,1,4:1,1,1,1:1,1,1,1
25x25	157584	1:1:1:6:1,1:6:1,1:6:10:1,1:1,1:1,1:1,1:1,1:13,1:1,1,1,1,1,2,1:1,1,1,1,1,1,1,1:1,1,1,1,1,1:1,1,1,1,1,1,13:1,1,1,1:1,1,6,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1,1,1:1,1,1,2,1,1,1:1,1,1,2,1,13:1,1,1,2,1,13-1,1,1,1,1,1:2,1,1,1,1:1,1,1,1,1,1:2,1,1,1,1:1,1,1:2,1,5:1,1,1,1:2,1,3:1,1,1,1,1,3:1,2,1,1:12,1,1,5:1,1,2,2:1,1,2,11:1,1,2,1,2:4,1,2,1,2,2:16,2:1,1,2,2:1,1,2:1,2,2:1,2:1,2,2:1,2:1,2,2:1,2:7
25x25	158078	1:3:2,2:2,2:2,2:2,2:2,2:2,2:2,2:19:2,1,1,1,1,1,2:3,1,1,1,1,1,3:2,1,1,1,1,1,1,1,2:1,1,1,1,1,1,1,1,1:23:9,5,8:1,1,1,1,1:1,1,5,1:1,1,1,1,1:1,1,5,1:1,1,1,1,1:1,1,5,1:3,4,3,3:3,9,3:3,4,3,3-2:2,2:2,2,3:16:2,2,3:3,2:2,7:2,1,2:2,1,2,3:2,16:2,1,1,3:2,1,11:2,7,1,1,1,1:2,1,2,1,1,1,1:2,1,2,1,1,4:2,16:2,1,1,3:2,1,2:2,7:3,2:2,2,3:16:2,2,3:2,2:2,1
25x25	158111	1:1:3:5:5:7:7:9:9:11:11:3,5,3:3,3,3:3,1,3:17:19:19:1,1:19:21:23:25:1,1:1,1:3,1,1,1,1-1,1:2,1:6:7:4,4:5,4:6,4,1:4,3,4:5,3,4:6,3,4:9,3,4:11,3,4:17,4,1:11,3,4:9,3,4:6,3,4:5,3,4:4,3,4:6,4,1:5,4:4,4:7:6:2:1
25x25	158139	25:9,1:5,5:1,7,5:1,1,1,4:1,3,1,2:1,3,1:1,3,1:1,1,1,1,3:2,7,3,3:2,2,1,3:1,2,2,3,3:1,2,1,3,2:1,1,2,3,2:2,2,1,2:2,2,1,1,2:2,2,3,3,1:25:2,4,4,5,4:1,3,3,3,1,3:2,2,3,1,2:7,2,3,8:2,2,3,1,2:2,2,3,1,2:2,2,3,1,2-1,2,1,3,3,1:1,1,1,2,1:1,1,2,1,1:1,1,2,2,1:3,2,3,1:2,7,13:2,1,1,11:2,1,3,1,1:2,7,1:2,1,3,1,1:2,1,1,11:2,7,12:3,3,3:1,1,2,3,5:1,1,2,3,5:1,1,1,3,5:1,2,2,3,3:1,1,1,5,8:1,1,2,3,3,1:1,1,2,3,1:1,2,3,3,1,1:1,1,3,3,1:1,1,4,3,1:1,2,3,8:2,1,10
25x25	158142	14,6:1,1,1:14,6:1,1,1:14,6:1,1,1:14,6:1,1,1:14,6:1,1,1:14,6:1,1,1:25:25:25:1,5,5,5:1,3,3,3:3,1,1,1:3,1,1,1:2,3,3,3:1,5,5,5:1,5,5,5:1,5,5,5:1,3,3,3:25-25:1,1,1,1,1,1,3,3,1:1,1,1,1,1,1,3,2,1:1,1,1,1,1,1,3,1:1,1,1,1,1,1,4,3,1:1,1,1,1,1,1,5,6:1,1,1,1,1,1,13:1,1,1,1,1,1,5,6:1,1,1,1,1,1,4,3,1:1,1,1,1,1,1,3,1:1,1,1,1,1,1,3,1:1,1,1,1,1,1,4,3,1:1,1,1,1,1,1,5,6:25:5,6:4,3,1:3,1:3,1:4,3,1:17,6:1,1,1,1,1,1,13:1,1,1,1,1,1,5,6:1,1,1,1,1,1,4,3,1:1,1,1,1,1,1,3,1:1,1,1,1,1,1,3,1
25x25	158378	1,1,1,3:6,5,6:7,6,8:8,4,9:8,3,5,3:1,14,2:12,1:12:18:19:8,12:5,2,1,10:6,2,2,8:5,1,2,2,8:5,1,1,1,4:4,1,1,4:2,1,1,2,3:2,1,2,2,2:1,1,2,1:1,1,1:1,3,2:2,3,2,2:6,3,2:2,2:25-4,5,1:4,9,1:4,5,2:5,9,3:4,7,1,1:5,5,2,1:13,2,1:8,1,1:8,3,1:2,9,5,1:10,6,2,1:10,1:11,1:4,6,1:1,6,7,1:10,6,1:9,3,1:12,1,1:4,6,2,1:4,6,1,1:3,6,1,1:4,8,3:5,7,2:6,8,1:6,8,1
25x25	158544	1,6,3:2,3,8,3:2,3,1,5,4:8,1,4,4:1,1,2,2,2:2,3,1,1,1,3:1,1,1,7:4,1,2,4,1:2,2,1,2,4,1,4:1,4,1,8,1,1:1,4,7,1,1,2:2,4,3,2,1:5,1,1,10:1,3,2,5:9,1,11:1,5,1,1:1,11,1:23:4,2,6,3:4,3,2,3:4,3,2,2:4,7:3,6:2,1,3,1:2,11-3,1,4,3:3,1,2,2,1,1:1,1,2,1,1,1:3,1,1,4,9:4,1,18:3,1,5,11:1,1,8:8,5:1,1,2,3:3,2,3,1,4,1:2,1,1,5,1,2,2,1:2,5,1,6,2:3,1,2,1,3,3,1:4,2,1,4,4:6,2,2,8:4,4,3,8:2,3,3,2,2,1:2,4,1,6:2,4,4,1:1,1,3,1,1,3,1:1,4,1,1,2:3,8,1,1:4,2,1,1,1,1:1,3,1,1,1,1,1,1:1,1,1,1,1,1,1,3
25x25	158546	3,6,2:3,6,3:1,2,2:3,2,2:5,2,2:1,1,1,1,1,2,3:1,1,1,1,1,2,2:12,1:1,1,1,1,1,10:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:12,1:1,1,1,1,1:1,1:14:14:14:14:14:14-1,1,6:1,1,6:13,6:1,1,6:1,1,6:13,6:1,1,6:1,1,6:13,6:1,1,6:1,1,1,6:2,22:5,6:2,22:1:2,1:2,1:7,1:7,1:2,1:2,1:1:5,1:7,1:2,2,1
25x25	158802	8:3,4:2,3:1,1,2,3:1,3,4,5,2,1:1,1,11,1,1,1:1,4,5,1,3:1,2,4,2,1,1:1,1,4,2,2,1:1,1,3,2,4:2,3,1,2,2:1,2,2,2,2:1,2,1,2,3:2,4,2,4:1,1,2,1,1,2:1,1,2,12:1,1,1,15:1,10:8,8,4:2,4,6,2,1:1,1,1,1,3,3:3,1,1,1,2,1:2,1,1,14:3,2,1,1,1,5:7,2,2,2,2,3-3,2,3,7:5,2,4:2,2,1,1,2:3,2,1,1,1,1:1,5,2,1,1,1:4,2,2,2,1:2,6,1,2,1:2,2,2,1,6:2,2,1,1,1,1:2,2,4,4,1:5,3,1,1:3,2,3,2:6,1,5,1,1:1,3,2,2,6,1,1:2,3,2,1,6,2:1,2,1,2,7,1,1:1,2,1,2,5,1,1:1,1,1,1,2,5,2:1,2,2,6,1,1:1,1,1,1,7,1,1:1,2,5,2,2:2,1,5,7:4,2,7:6,1,1,2:4,2,1,1
25x25	159853	12,3,5:1,1,2:1,9,2,4:1,1,5,1:1,1,1,5:1,1,3,1,5,1:1,1,1,9,1:1,1,1,1,2,1,2,1:1,1,1,1,2,1,1:1,1,3,3,1,1:1,1,6,1,1:1,1,6,1,1:1,1,1,4,4,1:1,1,1,2,1,1,1:1,1,1,1,1:1,3,2,1,1:6,2,1,1:8,3,1,1:7,4,2,1,1,1:4,1,1,3,1,1:1,9,1,1,1,1,1:1,1,9,4,1,1:1,1,9,1,4,1:1,9,1,1:3,7,1,9-16,2,5:1,3,1:1,12,5,2,1:1,1,5:1,1,9:1,1,9:1,1,3,5:1,1,1,5:1,1,1,1,5:1,1,1,1,1,1,5:1,1,1,2,1,1,1,5:1,4,4,1,1,1,5:1,6,4:1,6,1,1,1:1,3,3,2,1,1:1,2,1,1,6:2,1,2,1,1,1,1:9,1,3,1:5,1,3,1,1:5,1,3,1,1:1,5,1,1:1,2,3,1,1,1:1,1,4,10,1:1,1,1:1,1,20
25x25	160264	3,1,4:2,4,8:1,1,1,11:2,1,13,2:4,1,6,3:1,2,1,3,4:2,2,3,3,6:1,1,1,10:3,1,1,3,4:4,2,2,3:5,3,2:5,2,2,2:3,6,1,8:1,1,2,2,2,4:5,1,3,1,4:5,2,1,2,4:5,3,1,3,6:4,1,6:2,4,8:3,12,4:1,1,9,5:3,1,3,7,3:4,1,2,12:4,1,3,11:6,2,9-3,1,8,6:2,4,5,4,1,4:1,1,1,5,4,1,4:2,1,6,5,1,3:4,1,3,5,1,1:1,1,2,2,3:2,2,2,1,1:1,1,2,1:3,1,3,1:2,2,3,2,3:1,3,2,7:1,2,1,1,8,2:1,3,2,3:1,2,3,4:3,1,1,3,5:7,1,2,5:6,1,1,7:7,1,1,5:4,1,2,3,5:4,2,7,4:3,3,10,3:4,7,8,3:3,7,11:10,9:8,5
25x25	160613	2:5:2,3:2,2:2,2:2,2:4,2:2,2,2:1,2,1,2:2,2,2,1:2,2,2,1:3,2,2,2:6,2,2:7,2,2,2:2,1,2,1:2,2:1,1,1:1,1,1:1,1:2,1,2,1,1:2,1,2,1,1:1,1,1,1:1,1,1,1:2,2,1,1:3,13-2:5:2:2,2,2,1:2,2:1,5:1,2:2:2:2,1:2,1:5,1:9,1:2,2,10:7,7,1:2,4,7,1:2,2,10:2,9,1:2,5,1:2,1:2,1:2,1:2:2,1:4
25x25	161231	22:1,1,1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1,1,1:22:1:1:1:1:20:1,1:1,1:1,1,1:1,1,1:1,1,1:1,1,1:1,1,1:1,1,1,1,1:11,1,1:1,1,1,1,1:11,1,1:10,1,1:1,1,1,1,1:25:25-1,1,2:5,2:1,1,16:5,1,1,2,2:1,1,1,5,2:5,1,1,2,2:1,1,1,1,2,2:5,1,1,2,2:1,1,1,1,2,2:5,1,1,5:1,1,1,1,2,2:5,1,8:1,1,1,1,1,2:5,1,2:1,1,1,2:5,1,2:1,1,1,2:5,1,2:1,1,1,2:5,16:1,1,1,2:10,2:2:2:13
25x25	162085	1:25:1:1:10,4,1:1,1,1,1:1,1,1,1,3:1,1,1,4:9,4,4:1,1,1,4:1,1,1,3:1,1,1:1,4:1,1,1:9,1,1:1,1:4:1,1:1,1:1,1:4:1,1:10,1,1:1,1,1:1,4-1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,1,1,1,1:1,11,3:1,1,1:1:1:1:1,21:1,1,1,1,1,1,1:1,1,1,1,1,1,1:1,21:1:7:1:1:1,3:1,5:1,5:1,5
